,x_pixel,y_pixel,cell_type,sub_type_1,sub_type_2,sub_type_3,sub_type_4,sub_type_5
C_1193,9199,20521,fat,a_others,a_others,a_others,a_others,fat
C_1196,11711,7464,immune,a_others,a_others,a_others,a_others,immune_3
C_1197,16262,16163,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1199,17271,15292,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1200,8943,16314,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_1204,11460,8479,fibrous,fibrous,a_others,a_others,a_others,fibrous_2
C_1205,7683,18201,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_1208,10959,12831,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1210,16506,7024,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1212,15751,8911,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1215,8683,8337,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1216,14750,19065,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_1219,14742,9492,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1223,15254,17904,necrosis,necrosis_1,necrosis_1,a_others,necrosis,necrosis_2
C_1225,8685,9787,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_1227,14242,15294,tumor,tumor_1,a_others,a_others,a_others,tumor_1
C_1229,15755,13552,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1231,9190,10077,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_1232,6417,14286,immune,immune_2,a_others,immune,a_others,immune_2
C_1233,11463,11670,tumor,tumor_4,a_others,a_others,a_others,tumor_4
C_1235,9195,16459,tumor,tumor_3,a_others,a_others,a_others,tumor_3
C_1237,19039,17176,fibrous,fibrous,a_others,a_others,a_others,fibrous_3
C_1238,14487,6736,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1239,18534,16306,tumor,a_others,a_others,a_others,a_others,tumor_5
C_1240,17264,7749,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1241,8433,10513,tumor,tumor_5,a_others,a_others,a_others,tumor_6
C_1245,15246,9201,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1246,16511,11956,fibrous,fibrous,a_others,a_others,a_others,fibrous_1
C_1248,7174,13850,tumor,tumor_2,a_others,tumor,a_others,tumor_2
C_1251,14489,8767,fat,a_others,a_others,a_others,a_others,fat
